PPC	*adoola	‘variety of sweet-husked coconut palm’	Chk atoon, ótoon; Pul yótool, yótoolá-(n); Crl atool; Wol atoole; PCk *adoola; Pon adool	Cf. Yap waqthoel, waqtoel, waqtool ‘a type of tree’.		
PCk	*lake	‘bracelet’	Chk náá-ná ‘b., ring, earring, wear a b.’, náá-náá-(ni) ‘acquire a b.’; Pul láá-lá ‘wear a b. or wrist ornament’, láá-(n) ‘his b.’; Wol laage, lega-(le) ‘b., wrist ornament’, lage-lage ‘use or wear a b.’, lega-(li-i) ‘own (a b.)’; PuA naaka, naka- ‘b., wrist ornament, ring’.	Cf. Saa la’o ‘cone shell, trochus, forehead ornament made of same’; Bug lago ‘cone shell, ornament of cone shell’; Kwa la’e-(ni) ‘trochus shell’; Lak lage (la-pagogo) ‘to put on earings (la-pagogo)’.		
PCk	*laŋi-daa	‘famine’	Chk neŋi-ta; Pul leŋi-ta; Wol laŋi-taa; PuA naŋi-ta (sic).		Cf. PMc *laŋi ‘sky, heaven, storm’.	
PCk	*-lapa	‘badly, contrarily’	Chk -nap ‘b., c.’, (roŋo)-nap ‘disobedient, heedless’; Pul lap; Wol -lape.			
PCk	*-le (aspect marker)	‘immediate future’	Chk -ne, (-pwe)-ne; Pul -le; Crl -le, (-bwe)-le; Wol -le, (-be)-le.	Cf. Pon paan; Mrs -nahaj; Kir -na.		
PCk	*[ln]ewa	‘flee’	Chk new ‘f., run away (of animals)’, (á)-new ‘chaser, shover, cause a fleeing, shoving’, (á)-newa ‘shoo it, chase it, cause it to f.’; Wol lawe ‘be scared, frightened, startled’, (ga)-lewa-(a) ‘make him scared, scare him away, chase it away’.	Cf. Kwa lakwa ‘hurry, do quickly’.		
PCk	*liapa, liapa-ni	‘a catch of fish, to catch (fish)’	Chk niyap ‘a c. of f., to get a c. of f.’, niyape-ni ‘to take it (as a c. of f.)’; Pul liyap ‘a c. of f., to c. (as f.)’, liyápe-ni-(y) ‘to c. (f.)’; Crl liyap ‘to c. more f. than usual’, liyape-li ‘to c. more (f.) than usual’; Crn liyap, liyape-ni; Wol liyape ‘a good c. of f., to c. a lot of f.’, liyepa-li-(i) ‘take it as one's c.’			
PCk	*li-cowu	‘smart, clever’	Chk ni-chuuchuu-(mataw) ‘sea goddess who fishes with hand nets’; Crl li-show ‘smart or clever person’ (lit. ‘netter’ or ‘scooper with a hand net’); Wol li-shou ‘to learn fast, have a quick memory’.		See PMc *cowu, cowu-ki ‘hand net’.	
PCk	*[ln]ie, [ln]ie[ln]ie	‘to pour, spill’	Chk niini, niinii-(tiw) ‘to p.’, nii-ni, nii-ná-(á-tiw) ‘p. it’; Wol liye ‘to be spilled’, (ga)-liyeliye ‘to p., s.’, (ga)-liya-(a) ‘p. it, s. it’.	Cf. Mrs lliw-ték ‘p., overflow, slop out, s.’ @Cf. Ton ma-liŋi ‘be poured out, spill’; Saa liŋi, liŋi-si ‘to p.’, ma-liŋi ‘to spill’.		
PCk	*likaapi	‘a bird’	Chk nikááp ‘a land b. (has a long tail)’; Wol ligaapi-(laai) ‘a b.’			
PCk	*li-kaa-tt[ae]raki	‘kind of fish’	Chk ni-ká-sseres ‘sp. of moorish idol f.’; Pul li-kahherák, -hheráki-(n) ‘a small reef f. with vertical stripes, f. of’; Crl li-ghaa-sserágh ‘sp. of edible rock f.’ (lit. ‘easy sailer’).		See PWMc *taraki ‘to sail’.	
PCk	*l[iu]kol[iu]ko	‘gnat’	Pul likolik ‘stinging gnats’; Crl lighiliigh ‘very small black mosquito’; Crn ligiliig ‘very small black mosquito’; Wol lugolugo ‘gnat’.			There are problems here.
PCk	*likoTo	‘a seafood or fish’	Chk nikos ‘a seafood’; Wol ligoso ‘a fish’.	Cf. Kir (te)nikoro ‘a fish’.		
PCk	*lima, limalima, lima-kaccú, lima-di	‘clean, neat, beautiful, to clean or neaten (s.t.)’	Chk nimenim, nimé-éch, nimenimé-éch ‘c., pure, n., b.’, nime-ti ‘c. it, neaten it, make it b.’, nnime-t ‘be cleaned, neatened, spruced up’; Pul limálim, lime-kacc ‘be c.’, lime-ti-(y) ‘wash it, c. it’, lime-t ‘to wash, to c.’; Crl limálim ‘to c., tidy up, straighten up a place’, lime-ti ‘to beautify, arrange, straighten up (s.t.)’; Wol lime-gachchú ‘be careful, skillful, being good, success’, limeti-(ye) ‘make it really good’, lime-ti ‘to make really good’.			
PCk	*li-maadaada	‘kind of unicorn fish’ (lit. ‘rough to the touch one’)	Chk ni-maataat ‘sp. of u. f.’; Crl li-maataat ‘small, black sp. of u. f.’			
PCk	*li-mwa-doŋo	‘stinging jellyfish’	Chk ni-móó-toŋ ‘Portuguese man-of-war’ (lit. ‘stinger’, toŋ ‘smart, sting’); Pul li-mwó-toŋ, -toŋo-(n) ‘various small s. j.’; Crl li-mwo-toŋ ‘j., man-of-war’; PuA ni-mwa-toŋo ‘j.’			There are problems with the Chk form.
PCk	*li-pici	‘unmarried adult (not married or widowed)’	Chk ni-pich; Mrt li-pich (sic); Pul li-piiR (sic), li-piRi-(n); Crl li-pish‘u. mother (single, widowed, or divorced)’, ‘be promiscuous, sleep around’; Crn ni-piR ‘u. mother (single, widowed, or divorced)’, ‘be promiscuous, sleep around’; Wol li-pishi; PuA ni-pisi.			
PCk	*lipwa-	‘at the time of, during’	Chk nupwe-(n); Pul lipwe-(n), lupwa-(n); Crl libwa-(l); Crn libwa-(n); Wol lebe-(li), libe-(li).			
PCk	? *[ln]iwetta	‘variety of Cyrtosperma taro’	Chk niwees; Wol liwesse.			This could well be an intra-Chuukic loan.
PCk	*llecú	‘make a loud noise’	Chk nnúch, núnnúch ‘be snapped (of a finger), clicked (of a lock), snapped, ground (of teeth)’; Crl llésh, llesh ‘make a l. n.’, léllésh ‘ n. that is loud and repeated’; Crn lléR ‘make a l. n.’, lélléR ‘n. that is l. and repeated’, (a)-lélléR ‘make a pounding or banging n.’; Wol nneshú ‘make a banging n., bang, sound of a falling bottle’.		Cf. PPC *lec[ae], lecelec[ae] ‘to rap, strike sharply’.	
PCk	*llema, lema-ti-	‘tie’	Pul llom ‘rope tied by s.o. else’, llome-e-(y) ‘tie it with a rope’; Crl lomwa ‘hang (oneself) by the neck’; Crn núma ‘hang (oneself) by the neck’; Wol nneme ‘be tied, tethered’, lema-si(i) ‘make knots in rope’.		Cf PCMc *ñama ‘make a noose or snare’.	
PCk	*llima	‘lower rim of a sail’	Pul llim ‘reef a s.’; Wol nnime ‘lower side of a canoe s.’; PuA nnúmma (sic) ‘lower rim of a s.’, nnúmu (sic) ‘bottom of a s.’		Cf. PCMc *lukuma ‘fold, wrap’, PMc *lumi ‘to fold’.	
PCk	*lodoa, lodoa-lapa, lodoa-ara, lodoa-afaŋi	‘west, due west, southwest, northwest’	Chk notowa-(n) ‘w., w. of it’, notow, notowa-nap, notowa-ar, notowá-áfen; Mrt lotowa-(n) ‘w. of’, lotowa-ar; Pul lotow, lotowa-(n); Wol letowe, (i)-letowe ‘w.’, letowe-lape ‘due w.’, letowa-are ‘w. southwest’, letowa-afaŋi ‘w. northwest’; PuA (i)-notoa ‘w.’			Note also Ksr rɔtɔ ‘w.’ with its unexpected intial r, which marks it a probable loan, along with other direction terms. Marck (1994:324) includes it in his reconstruction of PMc *losowa.
PCk	*lomwo, lomwolomwo	‘gurgle’	Chk nomw, nomwonomw ‘g., make a liquid noise’, (ó)nómwa ‘make it g. (by shaking)’; Pul lomwolomw ‘g.’, (ya)-lomwe-(y) (sic) ‘to shake (as a liquid)’; Crl lomwolomw ‘to have liquid inside that can be shaken’; Wol lomwolomwo ‘to g., make a bubbling sound’.			
PCk	*loto	‘a boil, sore’	Pul loo; Crl loo ‘skin eruption, boil’; Wol loos, loso- ‘boils’, loso ‘have boils’; Uli loos, loso-(l) ‘b. (of skin)’; PuA noodo, nodo- ‘b. (skin infection)’.	Cf. Chk nóót, nótu-(n) ‘pus, p. of’.		
PCk	*lúkú-lapa	‘ocean side (of an island or reef)’ (lit. ‘great outside’)	Chk núkú-nap ‘o. s., open sea’; Pul lúkú-lápá-(n fanú) ‘rear part of an island on the windward side’; Wol lúgu-lape ‘side of an island opposite the village side’.		See PMc *liku ‘outside’, PMc *lapa ‘big, main’.	
PCk	? *luTTu	‘remainder, leftovers’	Chk nuus, nussu-(n) ‘r., l., r. of’; Mrt lussé-(n) ‘l. of’; Pul lúhhú-(n) ‘scraps, r., l. of’; Crl luss, lussu-(l) ‘l. (as of food), remnants, l. of’.		See also PMc *luuwa ‘remainder, remnant’.	
PCk	*luu	‘come, go, pass by’	Chk nu ‘go beyond, go past, pass by’, (ó)-nuu-(w) ‘skip, miss (a line of print), parry (a blow)’, (kkó)-nu ‘have missed a menstrual period’; Crl lu ‘be last or behind (in races)’; Crn ? lu ‘be last or behind (in races)’; Wol luu ‘be passed’, (ga)-luu-(we) ‘go beyond it, pass it’; POc *liu; Fij liu ‘to precede, go before, surpass’; Saa liu, liuliu ‘to come, go, pass by, ply about’; Bug liu ‘to go beyond, pass’, liu-ŋi ‘to step over’; Kwa liu ‘go, pass, walk, sail’; Lak luu ‘to duck under trees, duck through bush’	Cf. PWMP *liut ‘go around, encircle’, *liu ‘circumvent’ |(Blust 1989:150).		
PCk	*lúú, lúúlúú, lúúlúú-(wa)	‘to chew’	Chk nú ‘regurgitate a bit of food as a result of heavy eating’, núúnú ‘chew, eat, masticate’, núúnúú-(w) ‘chew it, eat it’; Pul lúú (sic) ‘to chew (as gum), eat noisily, eat (polite)’, lúúlú ‘chew, eat (polite to children)’; Crl lúúlú ‘to chew on s.t.’, lúúlúú-(w) ‘to chew on (s.t.)’; Wol lúúlúú ‘chew, masticate, eat (honorific by female)’, lúúlúú-(we) ‘chew it’.	Cf. Pon liili ‘pounded or mashed food (as breadfruit, taro, yams, or bananas), to pound or mash food’; Mrs lij ‘pound, mash’, lijlij ‘pound or mash food’; Ksr lʌlʌ ‘to swallow’. @Cf. also PPn *lua ‘to vomit’; Bug lua ‘to vomit’, lulu, lulu-mu ‘to vomit’.		
PCk	*lúwa, lúwa-di	‘loose, swung out’	Chk núw ‘be flung out (of arm), slung (of sling stone), s. to and fro (of the body)’, núwénúw ‘swinging of the body in dance, sexy handling of one's body’, nnúwe-t ‘be cast (of a fish line), be slung, s. out’, núwe-ti ‘cast it (of fishing line), swing it out, thrust it out (of one's arm), sling it (sling stone)’; Crl lúwe-ti ‘shake (the head) back and forth’; Crn lúye-ti ‘shake (the head) back and forth’; Wol lúwe-ti-(i) ‘throw it quickly, shake it off, snap it off, toss it’, lúwe-tagi ‘be snapped, thrown quickly, shaken, tossed’, (ma)-lúwe, (ma)-lúwelúwe ‘be l. or loosened (as a rope that is not taut)’, (ge-ma)-lúwa-(a) ‘make it l.’	Cf. Fij luluva ‘l., not well tied’.	See also PCk ? *malúa ‘loose’, PCk *ma-lúalúa ‘calm’, PCk *lúwaa ‘be calm (of sea or weather)’.	
PCk	*lúwaa	‘be calm (of sea or weather)’	Chk núwa; Pul lúúwa (sic); Wol lúwaa; PuA núa.		See also PCk *ma-lúalúa ‘calm’, PCk *lúwa, lúwa-di ‘loose, swung out’.	Cf. Marck (1994:311) PMc *malua ‘calm’.
PCk	*maa	‘behavior, manner, habit’	Chk maa, máá ‘b., m., h.’, maa-(maaw) ‘be hard, tough, strong, healthy’; Pul maa-(maw) ‘be well, strong, healthy’; Crl maa-(maaw) ‘be strong, powerful’; Wol maa-(maawe) ‘be strong, powerful’.		See also PMc *ma-toa, ma-toatoa ‘firm, hard, strong’.	
PCk	*maada	‘a garden’	Crl maat, maata-(l) ‘farm, his f.’; Wol maate ‘g., farm, cultivated area’, maata-(a) ‘change it into a g.’, maata-li-(i) ‘have it as one's g.’; PuA maata ‘g., lot, property, taro patch’.	Cf. Ksr imɛ ‘field, plantation, g., grove, farm’.	Cf. also PMc *maata, maataata ‘cleared space’, PPon *mwaada ‘cleared land, garden’.	
PCk	*ma-arawa	‘be green (of fruit), unripe’	Chk ma-araw ‘be at a g. stage, be g. (of fruit)’; Wol ma-arawe ‘be raw, unripe, uncooked’.		Cf. also PMc *ma-rawa ‘green, blue’.	
PCk	*ma-areare	‘relative, kin, be related’	Chk má-áráár, má-áreyár, má-áráári-(n), mááreyári-(n) ‘kinsman, r. of any distance, be k., be r., his k.’; Mrt má-áráár; Pul má-áreer ‘remote affinal or consanguineal r.’; Wol m-areyare (sic) ‘friend, be friends, be intimate’, m-areyera-(li-i) ‘have him as a friend’; Uli m-areyar; Sns m-aleyale.	Cf. Wol yare ‘get through a channel safely’.		
PCk	*maaro	‘thirsty’	Mrt móór; Pul moor; Crl mwóór, móór; Stw móór.	Cf. Wol maaro ‘to starve, suffer from hunger and starvation’.	Cf. PMc *marewu ‘thirsty’.	
PCk	*maa-yi-rúú	‘be startled, surprised’	Chk máá-yi-rú ‘alarm, be alarmed, astonished, surprised, scared, frightened’; Mrt máá-yi-rúú (sic) ‘startled’; Pul má-yi-rú (sic) ‘be surprised, startled, astonished’.	Cf. Pon (pwuria)-mwey ‘be surprised, astonished, amazed, shocked’; Mrs mwéyirw ‘startled’	See PMc *rut[iu] ‘become aware, wake up, be surprised’, PCk *maa ‘behavior, manner, habit’, and PCk *mwa-úcúúcú or *mwa-icúicú ‘to shake’.	
PCk	*ma-calú	‘slimy, slippery’	Pul mé-céccél, méé-RélRéél (sic) ‘be slimy, slippery’; Crn ma-ReliRel ‘slimy, slippery substance such as mucus’; Wol (guru)-me-shali ‘be slippery, smooth, velvety, slimy’.	Cf. Mrs me-tal ‘smooth, sleek, slick’.	See also PMc *ma-cai ‘slimy’.	
PCk	*ma-caŋ[iú]	‘no trespassing sign’	Chk me-chen, me-cheni-(n) ‘n. t. s. in form of a stick set up on a reef, shallow area, or land plot’, me-cheni-i-(y) ‘mark it with a n. t. s.’; Wol meshaŋú ‘n. t. s.’, me-shaŋú-ú-(we) ‘mark it with a n. t. s.’			
PCk	*ma-caro	‘muddy’	Chk ma-chchach ‘be m., having mud puddles’; Mrt méshór ‘mud, m.’; Pul me-Rar, me-Rare-(n) ‘be m., mud, mud of’; Crl mme-shar ‘swamp, mud, sticky mud on lake bottom, be m., swampy’; Crn mo-Rar ‘swamp, mud, sticky mud on lake bottom, be m., swampy’; Stw meRór ‘mud’; Wol me-sharo, me-shore ‘dirt, soil, mud, filth, be dirty, m., filthy’, ma-chochchore ‘be m., dirty, filthy’; Uli mócor ‘mud’; PuA ma-salo ‘ground, soil, earth, place’, ma-salo-(pwpwini) ‘mud, dirt’.	Cf. Pon pwel-matak ‘mud, m.’; Mok masak ‘hard’; Ksr fu-rærrær ‘m., sludgy’.		See also Marck’s (1994:316) PCk *mat’aro. Note assimilation of following r to preceding ch in Chk.
PCk	*macikawu	‘tern’	Chk mechikow ‘seabird (probably sooty tern)’; Pul meRikóów (sic) ‘ground-nesting edible seabird’; Wol mashigou ‘sooty tern’.	Cf. Mrs mméj ‘sooty tern’.		
PCk	*macia	‘ceremonial clothing’	Chk mechiye-(ni-mey) ‘special loincloth worn by breadfruit summoner’ (lit. “cloth of breadfruit”); Wol mashiye ‘a kind of lavalava (sic) worn by chiefs for ceremonial occasions’.			
PCk	*madai[ln][ae]	‘a fish’	Crl meteeyil ‘sp. of edible f. found outside reef’; Wol metaile ‘a kind of f.’	Cf. Kir (te)-maraino ‘the gill of a fish’ |(but see PMc *woro1 ‘gills’).		
PCk	*ma-dawudawu	‘smooth’	Chk mwó-tow, mwo- towutow ‘s.’, (o)-mwo-towutowu ‘make (s.t.) s.’; Mrt mó-tawutaw ‘be s., shine’; Pul mó-tówutówu ‘be s.’; Stw mó-tawutawu (sic) ‘s. (of cloth)’.	Cf. Mrs metaltél ‘s., sleek, slick (distributive form)’, meyewyew ‘soft to touch, s. like fur, sleek, slick, velvety’; Kir ma-rau ‘somewhat soft’, ma-raurau ‘quite soft’.@ Cf. also Saa mwa-dau, mwamwa-dau ‘be easy, possible, soft, pliable’, mwa-dau-si ‘be easy for (s.o.)’; Bug ma-luate ‘soft, smooth’; Kwa wa-la’u ‘easy, soft, overripe’.	Cf. PMc *ma-[sS]aLu, ma-[sS]aLu[sS]aLu ‘smooth (of surface) ’ posited by Goodenough (1995:77).	We consider the mw of Chk to be a secondary development. 
PCk	*ma-dipi, ma-ddipi	‘spit out (from the mouth)’	Chk me-ttip, memme-ttip ‘s. out (particles) from the mouth (as of food)’, me-ttipi-i-(y) ‘s. it out’; Wol ma-ttipi ‘to s. out’, mattipi-i-(ye) ‘s. it out’; PuA ma-tipi ‘fragment, broken pieces’ (also counting classifier for same).			
PCk	? *mai, maia	‘taut, tight’	Chk mmey ‘be taut, pulled tight’, (á)-mmeyi, (e)-mmeyi, (á)mmeyiya, (e)-mmeyiya ‘make it taut’, (sá)-mmey ‘move vigorously in running or walking’, (té)mmey ‘be fast or efficient at work’, (e)-mey ‘heavy rope’; Pul mááy ‘be taut, tight’, (yá)-mááy ‘rope’; Crl mmey ‘be stretched (as cloth, elastic, or rubber)’; Wol mai-(ne) ‘taut, tightly drawn (of a line)’, maiye ‘to sail against the wind’, (ge)-maiya-(a) ‘pull it (the rope controlling the sail)’.			
PCk	*makkú	‘break, be in pieces’	Chk mmék ‘be shattered, b. into pieces’, (é)-mékkú ‘shatter it, b. it’; Mrt mékk ‘b. off, b. away’, (iya)-mékk- ‘premature birth’; Pul makkú-(ló) ‘give birth’, makékkú-(ló) ‘to shatter, b.’, (ya)-makékkú-(ú-wé-ló) ‘shatter it completely’; Crl makk ‘give birth to a child’, makké-li ‘give birth to (a child)’; Wol makkú ‘b. away from the whole, give birth’, (ge)-makkú ‘to distribute, deliver a baby’.	Cf. Kir kiki-(a) ‘to take out (the contents of a bivalvular shell)’, maakiki-(na) ‘completely removed, exhausted’.	Cf. PCk *mwakk[iú] ‘bit, chip’.	
PCk	*makoto, makoto-lapa, makoto-ciki	‘finger joint, f. between tip and second knuckle, f. between tip and first knuckle’	Chk móó-nap ‘f. between tip and second knuckle’, #móó-sich, móó-chis ‘f. between tip and first knuckle’; Pul móó-(tol) ‘node and portions between nodes (of sugar cane and bamboo)’, móó-(wow) ‘joints (as of fingers and toes), portion between nodes (as of sugar cane and bamboo)’; Wol magoo ‘curve, joint’, magoo-lape ‘length of two f. joints (in measuring)’, magoo-shigi ‘length of one f. joint (in measuring)’; PuA makodo ‘be broken (of a stick)’.	Cf. Saa ma’o’i ‘broken in two’.		
PCk	*mali, mmali	‘smile’	Chk meni-(n) ‘his s.’, menimen ‘pleasant facial expression’; Mrt mɛlimɛl ‘begin to s., be amused’; Pul mel ‘to laugh, giggle a little, s.’, (yá)-melimel ‘to s.’; Crl mmál ‘to smile’; Stw mmál ‘s., laugh quietly’; Wol mmali ‘to laugh, s., grin’; PuA mmani ‘to laugh’; Sns mmári ‘to laugh’.			
PCk	*malii	‘perhaps, maybe’	Chk meni; Pul mááli (sic); Crl máli, meli; Wol malii.	Cf. PuA mana ‘perhaps, might’.		
PCk	*malla	‘dawn’	Chk mman, mmane-(n) ‘first light of d., f. l. of d. of’, (a)-manna ‘look at the d. to determine what the weather will be like’, manne-(yiti) ‘overtake him with d., d. upon him’; Mrt mmala-(we) ‘d., sunrise’; Pul maal ‘d. light, to d.’; Crl mall ‘morning twilight, become light in the morning’; Stw man (sic) ‘sunrise, d.’; Wol manne ‘d., first appearance of light in the morning’, manne-(lape) ‘d., pre-d.’, (ge)-mann ‘look at the d.’	Cf. Mok maalaal ‘morning star, Venus’; Fij malamalawa ‘early part of the morning before daylight’.		Marck’s (1994:312) PMc *mala(wa) ‘dawn’ is not supported by evidence outisde Chuukic languages.
PCk	*malle, malemale, (ka)-malemale-(a), male-di-	‘ground cleared of vegetation, swidden field’	Chk máán, mánni-(n) ‘s. f., his s. f.’, mánámán ‘place of habitation, inhabited area, be c. of v., be a f. (for cultivation)’, (nee)-mán ‘s. f., c. land’, (á)-mánámána ‘clear it of v.’; Mrt malamal ‘c. land’, malɛ-te ‘to clear (land)’; Pul mele-(n) ‘garden of (a crop)’, málemál ‘be clear of brush’, (á)-melemel ‘to clear (as a garden)’, mále-ti-(y) ‘to clear (land for a garden)’; Crl málimál, málemál ‘to clear brush’, máli-ti, mále-ti ‘to clear (brush), straighten up (a yard), clear (the way by stepping aside)’; Stw málemál ‘to clear brush, a clear space’, mále-ti ‘to clear (brush)’; Wol malemale ‘c. g., be c. of v.’, mela-ti-(i) ‘to clear (ground)’, (ge)-malemela-(a) ‘clear it’.		Cf. PMc *malala ‘area without vegetation’. 	Note that Chk (nee)-man ‘inland (especially in relation to settlement areas), ashore, pertaining to land’ and Mrt ‘lee-mal ‘land’ do not go with these. See also Marck (1994:322) PCk *malemale.
PCk	*mallo	‘prepared, made ready’	Chk mmon ‘be p., r.’, (ó)-mmón, (ó)-mónne-(n) ‘preparation, p. of’, (ó)-mónna, (ó)-mónná-(á-tá) ‘p. it’; Pul (yó)-méll ‘p.’, (yó)-mélle-(y), (yó)-méllá-(átá) ‘p. (s.t.)’; Wol manno ‘be finished, completed, r.’, (ge)-manno-(o) ‘finish it up, finalize it, complete it’.	Cf. Crl mól-(ló) ‘be fixed, corrected’, amwala ‘to prepare or tidy up (a place), make (it) r.’		
PCk	? *malúa	‘loose’	Chk ménúú-(w) ‘pull it with a jerk, pull it l.’; Pul malúú-(we-ló) ‘cast off (a canoe)’; Wol malúwe ‘be l. (as a rope)’, malúwelúwe ‘be loosened’, (ge)-malúwa-(a) ‘make it l.’	Cf. Pon luu ‘be incomplete as a consequence of some part being removed’.	Cf. Also PCk *lúwa, lúwa-di ‘loose, swung out’.	
PCk	*ma-lúalúa	‘calm’	Mrt ma-léw ‘c. (of sea)’; Pul ma-lúwalú ‘be easy or slow (as work), be c. (as sea), be gentle (as wind)’; Crl ma-lúw ‘be c. (of sea or weather)’; Crn mma-lú ‘be c. (of sea or weather)’; Stw ma-lú ‘c. (of the sea)’; Wol ma-lúwelúwe ‘be quiet, silent (as in water), gentle (as in a good personality), c. (of sea)’; PuA ma-núanúa ‘calmness, peace, be c., peaceful, gentle’.	Cf. Pon mɛ-lɛylɛy ‘peaceful, easygoing, unenthusiastic, slow moving, passive, lethargic’; Mrs ļahyey ‘smooth and c. (of water)’. @Cf. also Bug ma-luate ‘soft, smooth’. 	See also PCk *lúwa, lúwa-di ‘loose, swung out’, PCk *lúwaa ‘be calm (of sea or weather)’, PCk *ma-lúú, ma-lúúlúú ‘tired, fatigued’.	
PCk	*ma-lúú, ma-lúúlúú	‘tired, fatigued’	Chk mé-núúnú ‘be t., f.’, (é)-mé-núúnúú-(w) ‘make him t.’; Mrt mma-lú (sic); Pul ma-lúúlú ‘be t., weak, tiredness, fatigue’; Crl ma-lúúlú ‘be numb, t. and numb, shocked, stunned’; Wol maa-luu (sic) ‘become f., get t., be exhausted’, (ge)-maa-luu-(we) ‘make him weak or t.’	Cf. Kir ma-nnei ‘languid, weak through sickness, lifeless’; Lak ma-lolo ‘weak’; UAn *lawlaw ‘weak’. 	Cf. also PCk *ma-lúalúa ‘calm’.	
PCk	*mamwu-ciki	‘mackerel’	Chk momwu-chis, momwu-sich; Crl mwámwe-shigh ‘sp. of edible bottom-dwelling fish’; Wol mamwu-shigi ‘m. scad’.			
PCk	*manú-ni-pwoŋi	‘centipede’ (lit. ‘creature of night’)	Chk mén-nú-pwin; Pul manni-pwoŋ; Crl (li)-mál-li-bwoŋ; Crn mani-i-bwoŋ; Wol man-nú-boŋi; PuA manú-ni-pwoŋi.	Cf. Pon mɛni-n-raan ‘centipede’ (lit. ‘creature of day’).		
PCk	*maŋúca	‘unripe, immature’	Chk méŋúch, méŋúcha-(n) ‘green or u. fruit, its u. fruit’; Crl maŋúsh ‘be immature, u. (of fruit), first stage in the ripenening of fruit, be young or immature (of people)’; Crn maŋuR ‘be immature, u. (of fruit), first stage in the ripenening of fruit, be young or immature (of people)’; Wol maŋúshe ‘be immature, young’, (ge)-maŋúsha-(a) ‘make it young’; PuA maŋúsa ‘be weak, beaten in a fight’.			
PCk	*marata	‘bitter’	Chk maras, márás ‘a tree (Soulamea amara), b., acid’, (a)-maras, (á)-márás ‘gall bladder’; Mrt maras ‘a small tree, b.’; Pul merah ‘a tree (Soulamea amara), acid, very b.’; Crl maras ‘b. tasting’; Crn marah ‘b. tasting’; Stw meras ‘Soulamea amara, b.’; Wol merate ‘a tree (Soulamea amara), b., sour, salty, indigestable’; Uli marat ‘Soulamea amara, b.’; PuA malata ‘be b.’	Cf. Kir maai ‘b.’; Fij marasa ‘a tree (Sorckiella vitiensis)’. 		Yap marat ‘b. (of betel nut)’ is a loan from Uli.
PCk	*ma-riwariwa, ca-riwariwa	‘glitter, sparkle’	Chk me-riweriw ‘g. (as the surface of the sea in the early morning sun)’, chche-riw, chche-riweriw ‘be shiny, glossy’; Pul ma-riwe(rewúw) ‘lightning, to flash’; Crl ma-riwriw ‘be shiny, sparkling (as jewelry)’; Wol ma-riweriwe ‘shine, be bright by reflection of light’, sha-riweriw ‘be bright, shiny, g.’	Cf. Crl ŋe-liwliw ‘be shiny’.		
PCk	*maro, maro-nako	‘evaporate, dry up’	Chk mór ‘be at low tide, e., boil away’, móru-(n) ‘evaporation of’, móró-nó ‘e. entirely’, (ó)-mór ‘go fishing in shallow flats at low tide’; Pul mór, móro-ló ‘be low (as the tide or water in a pool)’; Crl mwór, mwóra-ló) ‘be d., dried up’, (ó)-mwóra ‘let (s.t.) d., d. it’; Wol maro ‘be low tide, diminish’, (ge)-maromaro ‘be making water decrease’; PuA malo, malo-nako ‘fall down, topple’.	Cf. Kwa malo-(ŋa) ‘dying, withered (of vegetative matter)’.		
PCk	*mata	‘attached, joined’	Chk mas ‘be well joined, fitted together’, (a)-masa ‘fit it together, connect it’; Wol mate ‘to stick, be attached’.			
PCk	? *mata-ccaa	‘kind of snapper fish (lit. ‘bloody eye or face’)	Chk mese-chcha; Crn mahaa-tcha.		Cf. PWMc *matamata ‘a fish’.	
PCk	*mata-ika	‘happy’	Chk mese-yik ‘be pleasantly excited’, mese-yike-(yiti) ‘be pleasantly excited about it’; Pul meháá-yik (sic) ‘be h., pleased’; Crl mese-igh ‘be h., cheerful, excited’; Crn mehe-ig ‘be h., cheerful, excited’; Wol mesa-ige ‘be h., be willing’, mesa-ige-(eti-i) ‘long for it, miss it, yearn for it’.		See PMc *mata ‘eye, face’.	
PCk	*mata-paca	‘blind’	Chk mese-pach ‘be with closed eyes, be slit-eyed (like an Oriental)’; Crl masa-pash ‘be b.’; Wol mate-pashe ‘be b., b. person’.		See PMc *mata ‘eye, face’, PWMc *paca, papaca or *capa, cacapa ‘adhere’.	
PCk	*mata-rúwa	‘star(s) in Scorpio’	Chk mesé-rú ‘constellation of two stars in tail of S.’ (lit. ‘two eyes’); Pul meháá-réw (sic) ‘stars in S.’; Crl masé-rúw ‘two stars in S.’; Stw maserú ‘a star’; Wol meta-rúwe ‘star in S.’		See PMc *mata ‘eye, face’, PMc *rua ‘two’.	
PCk	*ma[tØ]e-[iØ]-lééléé	‘be seasick, seasickness’	Chk máá-nééné; Pul máá-yi-léélé ‘be nauseated, s.’; Wol maa-i-lééléé ‘seasickness, nausea, be s., dizzy’.	Cf. PuA ma-tété (sic) ‘s.’; Kir mannei ‘be languid, weak through sickness, lifeless’; Pon mɛɛ-n madaw ‘seasickness’.	See PMc *mate ‘die, lose consciousness’, PMc *lau ‘pool, have liquid’.	
PCk	*ma[tØ]e-pwud[ao]	‘kind of sickness’	Chk máá-pwut ‘a form of sorcery that causes madness’; Pul máá-pwut ‘sore, boil, abcess’; Wol maa-bbuto ‘a kind of s.’		See PMc *mate and PMc *pwusa, pwusaka. 	Note that the Wol form in this case may be a loan from Pul or Chk.
